word,word count,root word,root language,second language,ranked languages
thunder,4,thunder,Old English,Germanic,Old English;Germanic;Old Norse;Old Frisian;Middle Dutch;Dutch;German;Sanskrit;Persian;Latin
thus,4,thus,Old English,Germanic,Old English;Germanic;Old Saxon;Old Frisian;Middle Dutch;Dutch
tickets,4,,,,
toast,4,,,,
toff,4,,,,
tons,4,,,,
tracks,4,track,Old French,Germanic,Old French;Germanic;German;Dutch;American English;English
tramline,4,,,,
tramp,4,,,,
tranquil,4,tranquil,Latin,,Latin
transit,4,transit,Latin,,Latin
tread,4,,,,
treated,4,,,,
trilling,4,trill,Italian,,Italian
trot,4,trot,Old French,Italian,Old French;Italian;Spanish;Germanic
truest,4,,,,
trunk,4,trunk,Old French,Latin,Old French;Latin;English
tup,4,tup,English,,English
twig,4,twig,Old English,Germanic,Old English;Germanic;Middle Dutch;Dutch;German
twinkling,4,twink,Old English,,Old English
twisting,4,,,,
ugly,4,ugly,Old Norse,Greek,Old Norse;Greek;Latin;Irish;Sanskrit;Germanic;English
ultimate,4,ultimate,Latin,,Latin
unbuttoned,4,,,,
unclean,4,unclean,Old English,,Old English
uncovered,4,,,,
unfolded,4,unfold,Old English,Middle Dutch,Old English;Middle Dutch;Dutch;German
upset,4,,,,
upward,4,upward,Old English,German,Old English;German;Middle Dutch;Dutch
usually,4,,,,
varying,4,vary,Old French,Latin,Old French;Latin;Old English
vent,4,vent,Old French,English,Old French;English;Latin
ventured,4,venture,French,,French
victim,4,victim,Latin,Old English,Latin;Old English;German
vienna,4,vienna,Latin,Old Irish,Latin;Old Irish;Welsh
vigour,4,vigour,English,,English
villa,4,villa,Italian,Latin,Italian;Latin;Sanskrit;Greek;Slavonic
violent,4,violent,Old French,Latin,Old French;Latin;English
virtuous,4,virtuous,Old French,Latin,Old French;Latin;English
visage,4,visage,Old French,Latin,Old French;Latin
visiting,4,visit,Old French,Latin,Old French;Latin;English
visits,4,visit,Old French,Latin,Old French;Latin;English
viz,4,,,,
volumes,4,volume,Old French,Latin,Old French;Latin;English
waking,4,wake,German,Middle Dutch,German;Middle Dutch;Dutch;Old Norse;Germanic;English
wander,4,wander,Old English,Germanic,Old English;Germanic;Old Frisian;German;Middle Dutch;Dutch;French
ware,4,ware,Old English,Germanic,Old English;Germanic;Old Frisian;Middle Dutch;Dutch;German
watchman,4,,,,
watery,4,watery,Old English,,Old English
waving,4,wave,Old English,Germanic,Old English;Germanic;Old Norse;German
wealth,4,wealth,English,,English
weave,4,,,,
wept,4,,,,
western,4,western,Old English,,Old English
wetted,4,wet,Old English,Germanic,Old English;Germanic;Old Frisian;Old Norse;American English
wexford,4,,,,
whatsoever,4,,,,
whence,4,whence,Old English,,Old English
whereas,4,,,,
wherever,4,,,,
whiles,4,while,Old English,Germanic,Old English;Germanic;Old Saxon;Old Frisian;German;Old Norse;Latin;Slavonic
whirred,4,whir,Old Norse,Dutch,Old Norse;Dutch;German
wholly,4,wholly,Old English,,Old English
whores,4,,,,
wicklow,4,,,,
widower,4,widower,Old English,Middle Dutch,Old English;Middle Dutch;Dutch;German
willing,4,willing,Old English,,Old English
windy,4,windy,Old English,,Old English
wings,4,wing,Old Norse,Germanic,Old Norse;Germanic;Old English
wink,4,,,,
winkle,4,,,,
winter,4,winter,Old English,Germanic,Old English;Germanic;Old Frisian;Dutch;Old Saxon;German;Old Norse;Old Irish
wits,4,wit,Old English,Germanic,Old English;Germanic;Old Saxon;Old Norse;Old Frisian;German
wogger,4,,,,
womans,4,woman,Old English,Dutch,Old English;Dutch
wondered,4,wonder,Old English,Germanic,Old English;Germanic;Old Saxon;Middle Dutch;Dutch;German;Old Norse
wonderworker,4,,,,
worlds,4,world,Old English,,Old English
worthy,4,worthy,Old English,,Old English
woven,4,,,,
wreath,4,wreath,Old English,Germanic,Old English;Germanic;Old Norse;German;Old Saxon;Old Frisian;Dutch
wreaths,4,wreath,Old English,Germanic,Old English;Germanic;Old Norse;German;Old Saxon;Old Frisian;Dutch
wren,4,wren,Old English,Germanic,Old English;Germanic;German;Latin
yankee,4,yankee,French,,French
yards,4,yard,Old English,Germanic,Old English;Germanic;Old Saxon;Old Frisian;Dutch;German;Old Norse;Latin;American English
yawn,4,yawn,Old English,Germanic,Old English;Germanic;Old Norse;Dutch;German;Slavonic;Greek;Latin;Sanskrit
yea,4,yea,Old English,Germanic,Old English;Germanic;German
yelling,4,,,,
yorkshire,4,,,,
