word,word count,root word,root language,second language,ranked languages
sources,3,,,,
spadeful,3,,,,
spake,3,,,,
spaniards,3,spaniard,Old French,Latin,Old French;Latin;Greek;Spanish;English
specks,3,speck,Old English,Dutch,Old English;Dutch;Middle Dutch
spectator,3,spectator,Latin,,Latin
speeches,3,speech,Old English,Germanic,Old English;Germanic;Old Saxon;Old Frisian;Dutch;German
speechless,3,speechless,Old English,,Old English
sphynx,3,,,,
spilled,3,,,,
split,3,,,,
spoiled,3,,,,
spoon,3,,,,
spreading,3,spread,Old English,Germanic,Old English;Germanic;Middle Dutch;Dutch;German
spurred,3,spur,Old English,,Old English
spurs,3,spur,Old English,,Old English
spurt,3,,,,
stage-coach,3,,,,
stage-drivers,3,,,,
stages,3,stage,Old French,Latin,Old French;Latin;English;American English
stampede,3,,,,
starboard,3,starboard,Old English,Germanic,Old English;Germanic;German;Old Norse;Dutch;Old French;Italian
stars,3,,,,
starve,3,starve,Old English,Germanic,Old English;Germanic;Old Frisian;Old Saxon;Dutch;German;Old Norse
stays,3,,,,
steaks,3,steak,Old Norse,Germanic,Old Norse;Germanic
steed,3,steed,Old English,Germanic,Old English;Germanic;Old Norse
steel,3,steel,Old English,,Old English
steering,3,,,,
stems,3,stem,Old Norse,Germanic,Old Norse;Germanic;Old Saxon;Middle Dutch;Dutch;German;American English;English
stiff,3,,,,
stilts,3,stilt,Germanic,German,Germanic;German;Middle Dutch;Dutch
stirrups,3,stirrup,Old English,Germanic,Old English;Germanic;Old Norse;Middle Dutch;Dutch;German;French
stove-pipe,3,,,,
stragglers,3,,,,
strait,3,strait,Old French,,Old French
streaming,3,stream,Old English,Germanic,Old English;Germanic;Old Saxon;Old Norse;Old Frisian;Dutch;German
strikes,3,,,,
string,3,,,,
strip,3,strip,Old English,Germanic,Old English;Germanic;Middle Dutch;Dutch;German
striped,3,stripe,Middle Dutch,Dutch,Middle Dutch;Dutch;German;Germanic;Old Irish;American English;English
strode,3,,,,
struggled,3,,,,
student,3,student,Old French,Latin,Old French;Latin;American English;English
stuffed,3,,,,
stumble,3,,,,
subjects,3,subject,Latin,,Latin
submerged,3,submerge,French,Latin,French;Latin
subordinate,3,,,,
subsequent,3,subsequent,French,Latin,French;Latin
suburbs,3,suburb,Old French,Latin,Old French;Latin;Old English
succeeded,3,succeed,Old French,Latin,Old French;Latin;English
successful,3,,,,
succession,3,succession,Old French,Latin,Old French;Latin
successor,3,successor,Old French,Latin,Old French;Latin
such-and-such,3,,,,
sufferer,3,suffer,Old French,Latin,Old French;Latin;Old English
suffers,3,suffer,Old French,Latin,Old French;Latin;Old English
sullen,3,sullen,English,Old French,English;Old French;Latin
sunny,3,sunny,Dutch,German,Dutch;German
superb,3,superb,Latin,,Latin
supernatural,3,,,,
superstition,3,superstition,Latin,English,Latin;English
supply,3,,,,
support,3,,,,
surf,3,,,,
surplus,3,surplus,Old French,Latin,Old French;Latin
surrounding,3,surround,French,Latin,French;Latin;English
surroundings,3,,,,
surveyed,3,,,,
survive,3,survive,Old French,Latin,Old French;Latin
suspended,3,,,,
sutro,3,,,,
swarming,3,swarm,Old English,Germanic,Old English;Germanic;Old Saxon;German;Middle Dutch;Dutch;Old Norse
swaying,3,sway,Dutch,,Dutch
sweet,3,sweet,Old English,Germanic,Old English;Germanic;Old Saxon;Old Frisian;Middle Dutch;Dutch;German;Sanskrit;Greek;Latin
sweetly,3,sweetly,Old English,,Old English
swimming,3,swimming,American English,English,American English;English
syllables,3,syllable,Old French,Latin,Old French;Latin;Greek
tackle,3,,,,
tales,3,tale,Old English,Germanic,Old English;Germanic;Dutch;German;Old Frisian;Middle Dutch;Old Saxon
tangled,3,,,,
teeming,3,,,,
telegraphic,3,,,,
tells,3,tell,Old English,Germanic,Old English;Germanic;Old Saxon;Old Norse;Old Frisian;Middle Dutch;Dutch;German;French;Italian;Spanish
temper,3,,,,
tender,3,tender,Old French,Latin,Old French;Latin;Sanskrit;Greek;English
tenor,3,tenor,Old French,Latin,Old French;Latin;English
tenth,3,tenth,Old English,Old Saxon,Old English;Old Saxon;Old Frisian;Dutch;German
terrace,3,terrace,Old French,Latin,Old French;Latin
terrified,3,,,,
thankful,3,thankful,Old English,,Old English
theatre,3,theatre,English,,English
theirs,3,,,,
