word,word count,root word,root language,second language,ranked languages
might,134,might,Old English,,Old English
course,133,course,Old French,Latin,Old French;Latin
believe,131,believe,Old English,Germanic,Old English;Germanic;Old Saxon;Dutch;German
got,130,,,,
great,130,great,Old English,Germanic,Old English;Germanic;Old Saxon;Old Frisian;Dutch;German;French;Latin
people,130,people,Old French,Latin,Old French;Latin;Spanish;Italian;English;Arabic
saw,130,saw,Old English,Germanic,Old English;Germanic;Old Norse;Middle Dutch;Dutch;German;Latin;Russian
better,127,better,Old English,Germanic,Old English;Germanic;Old Frisian;Old Saxon;Old Norse;German
never,127,never,Old English,Italian,Old English;Italian;French;Spanish;Latin;American English
upon,124,upon,Old English,Old Norse,Old English;Old Norse
hands,123,hand,Old English,Germanic,Old English;Germanic;Old Saxon;Old Frisian;Dutch;German;Old Norse
pulcheria,122,,,,
because,121,because,French,,French
alexandrovna,120,,,,
any,120,any,Old English,Germanic,Old English;Germanic;Old Saxon;Old Norse;Old Frisian;Dutch;German
indeed,119,indeed,Old English,American English,Old English;American English
brother,118,brother,Old English,Germanic,Old English;Germanic;Old Norse;Old Frisian;Dutch;German;Sanskrit;Greek;Latin;Old Irish;Welsh;Slavonic;Spanish
give,118,give,Old English,Germanic,Old English;Germanic;Old Frisian;Middle Dutch;Dutch;German;Old Norse
myself,118,myself,Old English,,Old English
through,118,through,Old English,Germanic,Old English;Germanic;Old Saxon;Old Frisian;Middle Dutch;Dutch;German;Sanskrit;Latin;Old Irish;Welsh;American English
anything,116,anything,Old English,Latin,Old English;Latin
mind,116,mind,Old English,Germanic,Old English;Germanic;Old Norse;German;Sanskrit;Greek;Latin;Slavonic;Russian;American English
rodya,115,,,,
strange,115,strange,Old French,Latin,Old French;Latin;Italian;Spanish
yesterday,113,yesterday,Old English,,Old English
word,112,word,Old English,Germanic,Old English;Germanic;Old Saxon;Old Frisian;Dutch;German;Old Norse;Latin
