word,word count,root word,root language,second language,ranked languages
inns,2,inn,Old English,Latin,Old English;Latin
inside,2,inside,American English,English,American English;English
insisted,2,insist,Latin,,Latin
instinctively,2,instinctive,Latin,,Latin
institution,2,institution,Old French,Latin,Old French;Latin
institutions,2,institution,Old French,Latin,Old French;Latin
intellectual,2,,,,
intelligent,2,intelligent,Latin,,Latin
interpret,2,interpret,Old French,Latin,Old French;Latin;Sanskrit
interpretation,2,interpretation,Old French,Latin,Old French;Latin
interrupted,2,,,,
intervening,2,intervene,Latin,,Latin
intimate,2,,,,
intricate,2,intricate,Latin,,Latin
introducing,2,introduce,Latin,,Latin
invade,2,invade,French,Latin,French;Latin
invent,2,invent,Latin,,Latin
investment,2,,,,
ironically,2,,,,
irons,2,,,,
island,2,island,Old English,Germanic,Old English;Germanic
isn't,2,,,,
j,2,,,,
jacket,2,jacket,Old French,Spanish,Old French;Spanish;Arabic;English
jam,2,,,,
jauntily,2,,,,
jelly,2,,,,
jest,2,jest,English,,English
jew,2,jew,Old French,Latin,Old French;Latin;Greek;Old English;German
jewish,2,jewish,Old English,,Old English
journal,2,journal,Old French,Latin,Old French;Latin
jovial,2,jovial,French,Italian,French;Italian;Latin
judged,2,judge,Latin,,Latin
keeps,2,keep,Old English,Germanic,Old English;Germanic;Latin
kelly,2,kelly,Old Irish,,Old Irish
keogh,2,,,,
kernan's,2,,,,
kerrigan,2,,,,
key,2,key,Old English,Old Frisian,Old English;Old Frisian;German;Germanic;Latin;French
kildare,2,,,,
kindling,2,,,,
kiss,2,kiss,Old English,,Old English
knee,2,knee,Old English,,Old English
knitted,2,knit,Old English,Old Norse,Old English;Old Norse;German;Germanic
knockabout,2,,,,
knot,2,,,,
knowing,2,,,,
knowledge,2,knowledge,English,,English
knuckles,2,knuckle,Germanic,German,Germanic;German;Middle Dutch;Dutch;American English;English
lace,2,lace,Old French,,Old French
ladylike,2,ladylike,English,,English
lain,2,,,,
lamp-post,2,,,,
lancers,2,lancer,Old French,,Old French
landed,2,landed,Old English,,Old English
laneway,2,,,,
lapel,2,,,,
lately,2,lately,Old English,,Old English
latter,2,latter,Old English,,Old English
latterly,2,,,,
laughing-like,2,,,,
laundry,2,laundry,Old French,Latin,Old French;Latin
laying,2,la,Latin,,Latin
leader,2,leader,Old English,,Old English
leather,2,leather,Old English,Germanic,Old English;Germanic;Old Norse;Old Frisian;Old Saxon;Middle Dutch;Dutch;German;Old Irish;Welsh
leaves,2,leave,Old English,Germanic,Old English;Germanic;Old Frisian;Old Saxon;German;Greek;Slavonic;Sanskrit
lecture,2,,,,
leer,2,,,,
legend,2,legend,Old French,Latin,Old French;Latin
legs,2,leg,Old Norse,Germanic,Old Norse;Germanic;German;Old English
lennon,2,,,,
lessons,2,lesson,Old French,Latin,Old French;Latin
liberal,2,,,,
liffey,2,,,,
lifting,2,,,,
limping,2,,,,
lined,2,,,,
liquor,2,liquor,Old French,Latin,Old French;Latin;English
listeners,2,,,,
literally,2,,,,
literary,2,literary,French,Latin,French;Latin
literature,2,literature,Latin,Old English,Latin;Old English;Spanish;Italian;German
loan,2,loan,Old Norse,Germanic,Old Norse;Germanic;Old Frisian;Middle Dutch;Dutch;German;Old English;American English
lock,2,lock,Old English,Old Frisian,Old English;Old Frisian;Old Saxon;German;Old Norse
lodgings,2,,,,
lofty,2,,,,
losing,2,lo,Old English,,Old English
lothario,2,lothario,Italian,German,Italian;German;French
louder,2,loud,Old English,Germanic,Old English;Germanic;Old Frisian;Old Saxon;Middle Dutch;Dutch;German;Sanskrit;Greek;Welsh
loved,2,love,Old English,Germanic,Old English;Germanic;German
loves,2,love,Old English,Germanic,Old English;Germanic;German
lowering,2,lower,Old English,German,Old English;German;Middle Dutch;Dutch
lowest,2,,,,
luck,2,luck,American English,English,American English;English
lugubrious,2,lugubrious,Latin,Greek,Latin;Greek;Sanskrit
lust,2,lust,Old English,Germanic,Old English;Germanic;Old Saxon;Old Frisian;Dutch;German;Old Norse;Latin
m'auley,2,,,,
ma'am,2,,,,
magical,2,,,,
magnetised,2,,,,
mail,2,mail,Old French,Latin,Old French;Latin
mainly,2,,,,
male,2,male,Old French,Latin,Old French;Latin;Spanish;Italian
malone,2,,,,
malt,2,,,,
mammon,2,mammon,Latin,Greek,Latin;Greek
managed,2,manage,Italian,Latin,Italian;Latin;French;English
manhood,2,manhood,Old English,,Old English
manly,2,manly,Old English,,Old English
marketing,2,,,,
marvel,2,marvel,Old French,,Old French
massive,2,massive,Old French,,Old French
maybe,2,,,,
meade,2,,,,
meal,2,meal,Old English,Germanic,Old English;Germanic;Old Frisian;Middle Dutch;Dutch;Old Norse;German
measures,2,measure,Old French,Latin,Old French;Latin;Old English;American English
mechanic,2,mechanic,Latin,Greek,Latin;Greek
mechanically,2,,,,
medal,2,,,,
medical,2,,,,
meditatively,2,meditative,Latin,,Latin
meetings,2,meeting,Old English,,Old English
melleray,2,,,,
mellow,2,,,,
mental,2,mental,French,Latin,French;Latin;Sanskrit;Old English
mercer,2,mercer,Old French,Latin,Old French;Latin
mere,2,mere,Old French,Latin,Old French;Latin;Old English;Old Irish;Sanskrit;Greek
merriment,2,,,,
metaphor,2,metaphor,Old French,Latin,Old French;Latin;Greek
midway,2,midway,Old English,American English,Old English;American English
mild,2,mild,Old English,Germanic,Old English;Germanic;Old Norse;Old Saxon;Old Frisian;Middle Dutch;Dutch;German;Greek;Latin;Old Irish;Sanskrit
milk,2,,,,
mimic,2,mimic,Latin,Greek,Latin;Greek
mimicry,2,,,,
mine,2,mine,Old French,Welsh,Old French;Welsh;Irish;English
minerals,2,mineral,Old French,Latin,Old French;Latin
missed,2,miss,Old English,,Old English
missing,2,,,,
mist,2,mist,Old English,Germanic,Old English;Germanic;German;Dutch;Greek;Slavonic;Sanskrit
monica,2,,,,
monkstown,2,,,,
monotonous,2,monotonous,Greek,,Greek
months,2,month,Old English,Germanic,Old English;Germanic;Old Saxon;Old Frisian;Middle Dutch;Dutch;German;Old Norse
monument,2,monument,Old French,Latin,Old French;Latin
moodily,2,,,,
moon,2,,,,
moore,2,,,,
morality,2,morality,Old French,Latin,Old French;Latin
morsel,2,morsel,Old French,Latin,Old French;Latin
mortal,2,mortal,Latin,,Latin
mothers,2,,,,
motion,2,motion,Old French,Latin,Old French;Latin
mount,2,mount,Old French,Latin,Old French;Latin
mounted,2,,,,
mournful,2,,,,
mourning,2,mourning,Old English,,Old English
mug,2,mug,German,,German
mugs,2,mug,German,,German
mulligan,2,mulligan,Old Irish,,Old Irish
murky,2,,,,
murphy,2,murphy,Old Irish,,Old Irish
muscle,2,muscle,French,Latin,French;Latin;Greek;Slavonic;German;Arabic;English;American English
music-stand,2,,,,
musty,2,,,,
muttered,2,mutter,Old Norse,Latin,Old Norse;Latin;German
muttering,2,mutter,Old Norse,Latin,Old Norse;Latin;German
nails,2,nail,Old English,Germanic,Old English;Germanic;Old Norse;Old Saxon;German;Old Frisian;Middle Dutch;Dutch;Greek;Latin;Slavonic;Old Irish
nape,2,nape,Old French,,Old French
napoleon,2,napoleon,French,,French
narrate,2,narrate,Latin,Spanish,Latin;Spanish
narrow,2,narrow,Old English,,Old English
nearer,2,near,Old English,Old Norse,Old English;Old Norse
neighbour,2,neighbour,English,,English
new-comer,2,,,,
newly,2,newly,Old English,German,Old English;German
news,2,news,French,Latin,French;Latin
newspaper,2,,,,
niece,2,niece,Old French,Latin,Old French;Latin;Spanish;Old English;Germanic;Sanskrit;Old Irish;Welsh;German
nods,2,nod,Old English,German,Old English;German;Germanic
noises,2,noise,Old French,Latin,Old French;Latin
noisy,2,,,,
noon,2,noon,Old English,Latin,Old English;Latin;Dutch
notices,2,,,,
notion,2,notion,Latin,Greek,Latin;Greek
notions,2,notions,American English,English,American English;English
november,2,november,Old French,Latin,Old French;Latin;Old English
number,2,number,Old French,,Old French
nursed,2,nurse,Old French,Latin,Old French;Latin;English
nursing,2,,,,
o'hara,2,,,,
o'liged,2,,,,
objects,2,object,Latin,,Latin
obliquely,2,oblique,French,Latin,French;Latin
occasionally,2,,,,
offered,2,offer,Old French,,Old French
offering,2,offering,Old English,,Old English
onward,2,,,,
opponent,2,opponent,Latin,,Latin
opportunity,2,opportunity,Old French,Latin,Old French;Latin
orangeman,2,,,,
oranges,2,orange,Old French,Latin,Old French;Latin;Italian;Arabic;Persian;Sanskrit;Greek;Spanish;Dutch
ordeal,2,ordeal,Old English,Germanic,Old English;Germanic;Old Saxon;Old Frisian;Dutch;German;Latin;French;Old Norse
organ,2,organ,Old English,Old French,Old English;Old French;Latin;Greek;Old Norse
or——,2,,,,
oughterard,2,,,,
outburst,2,outburst,Old English,,Old English
outcast,2,outcast,English,,English
outskirts,2,,,,
overmaster,2,,,,
owing,2,owe,Old English,Germanic,Old English;Germanic;Old Frisian;Old Norse;German;Sanskrit;Latin
owner,2,,,,
paces,2,,,,
packet,2,packet,English,French,English;French;Middle Dutch;Dutch
packing,2,pack,French,Latin,French;Latin
pained,2,pain,Old French,English,Old French;English
painful,2,,,,
painter,2,painter,Old French,Latin,Old French;Latin
paler,2,pale,Old French,Latin,Old French;Latin
palms,2,palm,Old English,Old French,Old English;Old French;Latin;Old Saxon;German;Old Norse
paltry,2,paltry,German,Middle Dutch,German;Middle Dutch;Dutch
pane,2,pane,Old French,Latin,Old French;Latin;Greek;Old English
panting,2,pan,Old English,Germanic,Old English;Germanic;Old Norse;Old Frisian;Middle Dutch;Dutch;German;Latin;Greek;Irish
parallel,2,,,,
paralysis,2,paralysis,Latin,Greek,Latin;Greek;Old English
parcels,2,parcel,Old French,Latin,Old French;Latin
pardon,2,pardon,Old French,,Old French
parents,2,parent,Old French,Latin,Old French;Latin
parkgate,2,,,,
parkinson,2,,,,
paroxysm,2,paroxysm,French,Latin,French;Latin;Greek
parted,2,part,Old French,Latin,Old French;Latin;Greek;Sanskrit;American English;Old English
passage,2,passage,Old French,,Old French
passages,2,passage,Old French,,Old French
pasteboard,2,,,,
patrick,2,patrick,Old Irish,Latin,Old Irish;Latin
patriot,2,patriot,French,Latin,French;Latin;Greek;American English;English
patriotic,2,patriotic,French,Latin,French;Latin;Greek
patronising,2,patronise,English,,English
patted,2,,,,
pausing,2,pause,French,Latin,French;Latin
pawn-office,2,,,,
pawnbroker,2,,,,
pawned,2,,,,
