ranked languages,root language,second language,word,word count
"Greek,Sanskrit,Old French,French,German,Latin,Old Norse,Norse,Germanic",Greek,Sanskrit,sun,55
"Greek,German,Sanskrit,French,Old French,Norse,Germanic,Old Norse,Latin,English",Greek,German,tea,55
"French,Old French",French,Old French,tap,54
"Germanic,English,German,Norse,Old Norse,Old French,Old English,French,Latin,Greek,Sanskrit,American English",Germanic,English,five,53
"American English,German,Sanskrit,Old French,French,Greek,Latin,Old Norse,Norse,English,Germanic",American English,German,gold,53
,,,gone,53
French,French,,nothing,53
"French,Old French,Greek",French,Old French,remember,53
"French,Greek,Old French,German,Germanic,Norse,Old Norse,Sanskrit,Latin",French,Greek,boy,52
French,French,,bob,51
,,,called,51
"Germanic,Greek,Norse,Old French,American English,French,German,Old Norse,Latin,Sanskrit,English",Germanic,Greek,land,51
"French,Greek,Old French,Sanskrit,Norse,Latin",French,Greek,letter,51
French,French,,molly,51
French,French,,perhaps,51
"Latin,French,Sanskrit,Greek,Old French",Latin,French,window,51
"Greek,Norse,Old French,French,Latin,Sanskrit",Greek,Norse,bad,50
"Sanskrit,Latin,Old French,Greek,French",Sanskrit,Latin,body,50
,,,dignam,50
"Old French,French",Old French,French,pocket,50
,,,seen,50
"Greek,Latin,French,Old French",Greek,Latin,yet,50
,,,boylan,49
"Greek,Old French,French",Greek,Old French,girl,49
"Germanic,American English,German,Old Norse,Old French,French,Latin,Greek,Norse,Sanskrit,English",Germanic,American English,may,49
,,,times,49
"Old French,French",Old French,French,watch,49
,,,women,49
,,,—you,49
French,French,,book,48
French,French,,green,48
,,,held,48
"Norse,Old French,French,Germanic,German,Latin,Greek,Sanskrit,Old Norse",Norse,Old French,mean,48
"Norse,Old Norse,Sanskrit,Greek,Latin,Old French,English,French,Germanic,German",Norse,Old Norse,mind,48
"Sanskrit,Old English,Old French,Old Norse,French,American English,English,Norse,Germanic,Latin,Greek,German,Welsh",Sanskrit,Old English,rose,48
"German,English,Sanskrit,Latin,Old French,French,Greek,Norse,Old Norse,Germanic",German,English,year,48
,,,born,47
,,,dollard,47
,,,henry,47
French,French,,quite,47
,,,table,47
"Sanskrit,Latin,Old French,French,Greek",Sanskrit,Latin,today,47
,,,chap,46
,,,days,46
"Old Norse,Norse,Old French,French,Greek,Latin,Sanskrit",Old Norse,Norse,death,46
,,,done,46
"German,Old Norse,Germanic,Norse,Sanskrit,Old French,French,Greek,Latin,English",German,Old Norse,few,46
,,,knows,46
"Norse,Old French,French,Germanic,German,Greek,Latin,Sanskrit,Old Norse",Norse,Old French,many,46
,,,pat,46
,,,talking,46
,,,used,46
"Sanskrit,Old French,French,Greek,Latin",Sanskrit,Old French,believe,45
,,,c,45
French,French,,cissy,45
"German,Germanic,Old Norse,Norse,Old French,French,English,Greek,Latin,Sanskrit,Old English,American English",German,Germanic,drink,45
,,,feet,45
,,,lost,45
French,French,,myself,45
"Germanic,English,German,Old Norse,Old French,French,Greek,Latin,Norse,Sanskrit",Germanic,English,sweet,45
,,,brought,44
,,,douce,44
"Sanskrit,German,Old French,French,Germanic,Latin,Greek,Old Norse,Norse",Sanskrit,German,earth,44
"German,Germanic,Old Norse,Norse,Old French,French,Greek,Latin,Sanskrit",German,Germanic,enough,44
"Latin,German,Old French,French,Greek,Sanskrit,Old Norse,Norse",Latin,German,lay,44
French,French,,lovely,44
,,,should,44
"Latin,Old French,French,Greek,Norse,Sanskrit",Latin,Old French,soft,44
,,,—he,44
,,,began,43
,,,blue,43
"Greek,Old French,French",Greek,Old French,breath,43
,,,ireland,43
,,,lambert,43
"French,Old French",French,Old French,nice,43
"French,Old French",French,Old French,fine,42
,,,followed,42
