word,word count,root word,root language,second language,ranked languages
tenth,8,tenth,Old English,Old Saxon,Old English;Old Saxon;Old Frisian;Dutch;German
territories,8,territory,Latin,,Latin
thinketh,8,,,,
thrones,8,throne,Old French,Latin,Old French;Latin;Greek;Sanskrit;English
tim,8,,,,
timothy,8,timothy,American English,English,American English;English
tis,8,,,,
torment,8,torment,Old French,Latin,Old French;Latin
transferring,8,,,,
translate,8,translate,Old French,Latin,Old French;Latin;Old English
troubled,8,,,,
try,8,try,Old French,,Old French
universe,8,universe,Old French,Latin,Old French;Latin
unknown,8,unknown,Old English,,Old English
vaine,8,,,,
versed,8,versed,French,Latin,French;Latin
vicar,8,vicar,Old French,Latin,Old French;Latin
walking,8,,,,
wisedome,8,,,,
wiser,8,wise,Old English,Old Frisian,Old English;Old Frisian;Old Saxon;Middle Dutch;Dutch;German
wolves,8,,,,
wonders,8,wonder,Old English,Germanic,Old English;Germanic;Old Saxon;Middle Dutch;Dutch;German;Old Norse
wood,8,wood,Old English,Germanic,Old English;Germanic;Old Norse;German;Welsh;Old Irish
worketh,8,,,,
worth,8,worth,Old English,,Old English
wrote,8,,,,
year,8,year,Old English,Germanic,Old English;Germanic;Old Saxon;German;Old Norse;Old Frisian;Dutch;Greek;Slavonic;Latin
years,8,year,Old English,Germanic,Old English;Germanic;Old Saxon;German;Old Norse;Old Frisian;Dutch;Greek;Slavonic;Latin
24,7,,,,
27,7,,,,
28,7,,,,
31,7,,,,
4.1,7,,,,
abolished,7,abolish,French,Latin,French;Latin;Greek
absence,7,absence,Old French,Latin,Old French;Latin
accepteth,7,,,,
accounted,7,account,Old French,,Old French
